Name,Category,Type1,Type2,Height,Weight,Ability1,Ability2,Description,Ability3
Bulbasaur,Seed Pokemon,Grass,Poison,2ft.4in. (0.71m),15.2 lbs (6.9 kg),Overgrow,Chlorophyll,"For some time after its birth, it grows by gaining nourishment from the seed on its back.",
Ivysaur,Seed Pokemon,Grass,Poison,3ft.3in. (0.99m),28.7 lbs (13.0 kg),Overgrow,Chlorophyll,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flowers coming bloom.",
Venusaur,Seed Pokemon,Grass,Poison,6ft.7in. (2.01m),220.5 lbs (100.0 kg),Overgrow,Chlorophyll,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokemon.",
Charmander,Lizard Pokemon,Fire,,2ft.0in. (0.61m),18.7 lbs (8.5 kg),Blaze,Solar Power,"The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.",
Charmeleon,Flame Pokemon,Fire,,3ft.7in. (1.09m),41.9 lbs (19.0 kg),Blaze,Solar Power,"In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.",
Charizard,Flame Pokemon,Fire,Flying,5ft.7in. (1.70m),199.5 lbs (90.5 kg),Blaze,Solar Power,It is said that Charizards fire burns hotter if it has experienced harsh battles.,
Squirtle,Tiny Turtle Pokemon,Water,,1ft.8in. (0.51m),19.8 lbs (9.0 kg),Torrent,Rain Dish,It shelters itself in its shell then strikes back with spouts of water at every opportunity.,
Wartortle,Turtle Pokemon,Water,,3ft.3in. (0.99m),49.6 lbs (22.5 kg),Torrent,Rain Dish,"It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity.",
Blastoise,Shellfish Pokemon,Water,,5ft.3in. (1.60m),188.5 lbs (85.5 kg),Torrent,Rain Dish,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.,
Caterpie,Worm Pokemon,Bug,,1ft.0in. (0.30m),6.4 lbs (2.9 kg),Shield Dust,Run Away,It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.,
Metapod,Cocoon Pokemon,Bug,,2ft.4in. (0.71m),21.8 lbs (9.9 kg),Shed Skin,,A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.,
Butterfree,Butterfly Pokemon,Bug,Flying,3ft.7in. (1.09m),70.5 lbs (32.0 kg),Compound Eyes,Tinted Lens,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.,
Weedle,Hairy Bug Pokemon,Bug,Poison,1ft.0in. (0.30m),7.1 lbs (3.2 kg),Shield Dust,Run Away,It eats its weight in leaves every day. It fends off attackers with the needle on its head.,
Kakuna,Cocoon Pokemon,Bug,Poison,2ft.0in. (0.61m),22 lbs (10.0 kg),Shed Skin,,"While awaiting evolution, it hides from predators under leaves and in nooks of branches.",
Beedrill,Poison Bee Pokemon,Bug,Poison,3ft.3in. (0.99m),65 lbs (29.5 kg),Swarm,Sniper,"Its best attack involves flying around at high speed, striking with poison needles, then flying off.",
Pidgey,Tiny Bird Pokemon,Normal,Flying,1ft.0in. (0.30m),4 lbs (1.8 kg),Keen Eye,Tangled Feet,"It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back.",Big Pecks
Pidgeotto,Bird Pokemon,Normal,Flying,3ft.7in. (1.09m),66.1 lbs (30.0 kg),Keen Eye,Tangled Feet,"It flies over its wide territory in search of prey, downing it with its highly developed claws.",Big Pecks
Pidgeot,Bird Pokemon,Normal,Flying,4ft.11in. (1.50m),87.1 lbs (39.5 kg),Keen Eye,Tangled Feet,"It flies over its wide territory in search of prey, downing it with its highly developed claws.",Big Pecks
Rattata,Mouse Pokemon,Normal,,1ft.0in. (0.30m),7.7 lbs (3.5 kg),Guts,Run Away,"It searches for food all day. It gnaws on hard objects to wear down its fangs, which grow constantly during its lifetime.",Hustle
Raticate,Mouse Pokemon,Normal,,2ft.4in. (0.71m),40.8 lbs (18.5 kg),Guts,Run Away,"With its long fangs, this surprisingly violent Pokemon can gnaw away even thick concrete with ease.",Hustle
